,text,pos_tag,mintime,maxtime
99,die,DET,678.6849,678.7949
100,Küche,NOUN,678.7949,679.0549
101,und,CCONJ,679.0549,679.1249
102,auf,ADP,679.1249,679.2449
103,der,DET,679.2449,679.3649
104,anderen,PRON,679.3649,679.5749
105,Seite,NOUN,679.5749,679.9149
106,type,VERB,679.9849,680.1749
107,äh,INTJ,680.8549,681.0749
108,das,PRON,681.0749,681.1949
109,Wohnzimmer,PROPN,681.1949,681.6449
110,ist,AUX,681.6449,681.82708
111,ja,ADV,683.6016,683.80935
112,doch,CCONJ,691.41017,691.56729
113,man,PRON,691.56729,691.70729
114,kann,AUX,691.70729,691.84729
115,ja,ADV,691.84729,691.94729
116,noch,ADV,691.94729,692.12729
117,mal,ADV,692.12729,692.32729
118,paar,DET,692.49729,692.73729
119,Durchgänge,NOUN,692.93729,693.49729
120,bauen,VERB,693.49729,693.76729
121,also,ADV,694.72444,696.26444
122,ach,X,702.10777,702.17777
123,so,ADV,702.17777,702.36777
124,ja,ADV,702.36777,702.49777
125,ja,ADV,702.49777,702.75777
126,gut,ADV,702.75777,703.02777
127,okay,ADV,703.02777,703.39777
128,ja,ADV,703.39777,703.5755
129,ach,X,722.80425,722.92138
130,so,ADV,722.92138,723.19137
131,ja,ADV,723.22137,723.47079
132,ja,ADV,723.72181,723.87762
133,ja,ADV,726.90896,727.31581
134,ja,ADV,727.40238,727.59281
135,ja,ADV,730.90062,731.10063
136,ich,PRON,731.10063,731.16062
137,ich,PRON,731.25063,731.57062
138,da,ADV,733.10681,733.24394
139,Zimmer,NOUN,733.27394,733.52394
140,da,ADV,733.52394,733.74394
141,da,ADV,733.74394,734.07394
142,und,CCONJ,734.07394,734.10394
143,dann,ADV,734.10394,734.41394
144,da,ADV,734.41394,734.68394
145,ja,ADV,734.68394,734.93394
146,ja,ADV,735.3764,735.50352
147,ja,ADV,737.06435,737.28148
148,doch,CCONJ,737.44523,737.67896
149,ja,ADV,737.81746,737.99925
150,ja,ADV,739.49675,739.68387
151,also,ADV,745.24615,745.36327
152,ich,PRON,745.36327,745.56327
153,würde,AUX,745.56327,745.88327
154,schon,ADV,745.98327,746.58327
155,gerne,ADV,746.68327,747.03327
156,großes,ADJ,747.06327,747.30327
157,Zimmer,NOUN,747.40327,747.57327
158,haben,AUX,747.57327,747.84302
159,ja,ADV,748.98563,749.16275
160,ja,ADV,749.45306,749.65019
161,ja,ADV,750.01738,750.1645
162,ja,ADV,750.1645,750.25975
163,dann,ADV,750.47617,750.66329
164,haben,AUX,750.66329,751.01329
165,wir,PRON,751.01329,751.22329
166,dann,ADV,751.25329,751.31329
167,haben,AUX,751.31329,751.49329
168,wir,PRON,751.49329,751.58329
169,fünfzig,NUM,751.58329,752.01329
170,schon,ADV,752.01329,752.14329
171,mal,ADV,752.14329,752.25329
172,weg,ADV,752.25329,752.38329
173,type,VERB,755.30496,755.92496
174,auch,ADV,758.31171,758.47883
175,fünfundzwanzig,ADV,758.47883,759.2639
176,ja,ADV,765.62621,765.93333
177,ja,ADV,766.12242,766.22242
178,ja,ADV,766.33883,766.59738
179,ja,ADV,767.16002,767.34715
180,okay,ADV,768.28533,768.54246
181,dann,ADV,768.54246,768.67246
182,brauchen,VERB,768.67246,768.88246
183,wir,PRON,768.88246,768.95246
184,noch,ADV,768.95246,769.29246
185,Badezimmer,NOUN,770.05246,770.62246
186,können,AUX,770.68246,770.83246
187,wir,PRON,770.83246,770.93246
188,zwanzig,NUM,771.20246,771.86035
189,also,ADV,787.7626,788.2226
190,meinst,ADV,788.2226,788.4926
191,du,PRON,788.4926,788.5826
192,das,PRON,788.5826,788.7226
193,ist,AUX,788.7226,788.8326
194,Strafe,NOUN,788.8326,789.2426
195,genug,ADV,789.2426,789.5626
196,oder,CCONJ,789.6426,789.8026
197,was,PRON,789.8026,789.8926
198,also,ADV,794.11179,794.24892
199,wir,PRON,794.24892,794.35892
200,waren,AUX,794.35892,794.53892
201,jetzt,ADV,794.53892,794.67892
202,bei,ADP,794.88892,795.28892
203,wieviel,ADV,795.34892,795.57892
204,Quadratm-,X,795.57892,796.17198
205,achtzig,ADV,796.17198,796.5991
206,genau,ADV,796.6491,796.8991
207,dann,ADV,797.75773,797.85485
208,brauchen,VERB,797.85485,798.21485
209,wir,PRON,798.21485,798.31485
210,also,ADV,798.31485,798.63485
211,gut,ADV,798.87485,799.20985
212,dann,ADV,799.20985,799.29485
213,ja,ADV,805.38385,805.85129
214,ja,ADV,806.21652,806.31365
215,ja,ADV,806.31365,806.41365
216,aber,CCONJ,806.41365,806.97365
217,das,PRON,806.97365,807.35365
218,dann,ADV,807.40365,807.44365
219,ja,ADV,807.55365,807.61365
220,wieder,ADV,807.61365,807.94365
221,so,ADV,807.94365,808.25365
222,Wohnzimmerküchemix,NOUN,808.34365,809.8781
223,ja,ADV,819.7565,820.10362
224,ja,ADV,820.10362,820.17363
225,ja,ADV,820.17363,820.27363
226,ja,ADV,820.27363,820.54363
227,okay,ADV,820.60481,820.96838
228,sagen,VERB,821.59577,822.08577
229,wir,PRON,822.83577,822.94577
230,vierzig,NUM,823.06577,823.47577
231,Quadratmeter,NOUN,823.47577,824.09577
232,das,PRON,824.09577,824.25577
233,nee,X,825.402,825.58912
234,wir,PRON,825.58912,825.68912
235,hatten,AUX,825.68912,825.82912
236,gerade,ADV,825.82912,826.05912
237,achtzig,ADV,826.05912,826.74373
238,oh,PROPN,834.37998,834.52998
239,der,DET,834.52998,834.64998
240,Timer,NOUN,834.64998,834.89998
241,läuft,VERB,834.89998,835.04998
242,gar,ADV,835.10998,835.31998
243,na,X,836.96254,837.05254
244,ja,ADV,837.05254,837.20254
245,gut,ADV,837.30254,837.83254
246,ähm,X,838.32254,838.64254
247,gut,ADV,839.16254,839.34254
248,ich,PRON,839.34254,839.42254
249,mal,ADV,839.49254,839.72254
250,so,ADV,839.72254,839.83254
251,grob,ADV,839.83254,840.06254
252,auf,ADP,840.06254,840.20254
253,die,DET,840.26254,840.32254
254,Uhr,NOUN,840.32254,840.55254
255,nee,X,845.78623,845.96623
256,da,ADV,845.96623,846.01623
257,läuft,VERB,846.01623,846.28623
258,nix,PRON,846.28623,846.42623
259,da,ADV,846.82248,846.9096
260,steht,VERB,846.9096,847.1196
261,fünfzehn,NUM,847.1196,847.4496
262,Minuten,NOUN,847.4496,847.7296
263,äh,INTJ,850.06794,850.26294
264,äh,INTJ,850.40794,850.61794
265,ja,ADV,850.61794,850.78794
266,gut,ADV,853.88742,854.21742
267,ja,ADV,854.64319,854.95231
268,zwei,NUM,855.92181,856.17894
269,zwei,NUM,856.17894,856.43894
270,mal,ADV,856.43894,856.54894
271,fünfundzwanzig,ADV,856.54894,857.5665
272,und,CCONJ,858.48406,858.63119
273,dann,ADV,858.63119,859.09
274,genau,ADV,862.65917,862.95917
275,type,VERB,863.7636,864.2536
276,Gott,NOUN,865.39337,865.7205
277,ja,ADV,865.7205,866.00798
278,so,ADV,866.47613,866.71613
279,viel,PRON,866.71613,866.93612
280,Platz,NOUN,866.93612,868.28612
281,äh,INTJ,870.28771,870.55771
282,ja,ADV,870.55771,870.83115
283,An-,X,875.27427,875.91233
284,nee,X,877.80804,878.11517
285,nee,X,878.77921,879.10633
286,brauchen,VERB,879.18633,879.51633
287,wir,PRON,879.51633,879.77133
288,häh,VERB,894.54531,894.75531
289,wir,PRON,894.75531,894.88531
290,haben,AUX,894.88531,894.99531
291,doch,CCONJ,894.99531,895.10531
292,unsere,DET,895.10531,895.71531
293,Zimmer,NOUN,895.71531,896.07531
294,also,ADV,896.10531,896.37031
295,Flur,NOUN,896.37031,896.71531
296,ist,AUX,896.71531,896.83531
297,hier,ADV,896.83531,897.10531
298,und,CCONJ,897.24531,897.38531
299,unsere,DET,897.38531,897.70531
300,Zimmer,NOUN,897.70531,897.94531
301,hier,ADV,897.94531,898.25531
302,wie,ADP,898.41483,898.51196
303,willst,AUX,898.51196,898.70196
304,du,PRON,898.70196,898.77196
305,da,ADV,898.77196,899.02196
306,noch,ADV,899.07196,899.43196
307,ja,ADV,907.93833,908.00546
308,gut,ADV,908.00546,908.15546
309,aber,CCONJ,908.15546,908.26546
310,ich,PRON,908.26546,908.34546
311,finde,VERB,908.34546,908.58546
312,es,PRON,908.58546,908.67546
313,äh,INTJ,908.73546,908.86546
314,irgendwie,ADV,908.86546,909.22546
315,nicht,PART,909.22546,909.54546
316,logisch,ADV,909.62546,909.92546
317,wenn,SCONJ,909.92546,910.06546
318,wir,PRON,910.06546,910.20546
319,hier,ADV,910.33546,910.75546
320,den,DET,910.75546,910.98546
321,hier,ADV,910.98546,911.36046
322,hier,ADV,911.36046,911.72546
323,hier,ADV,911.78546,912.32871
324,nein,PART,912.77881,913.16594
325,nein,PART,913.19594,913.87594
326,wir,PRON,913.87594,914.00594
327,haben,AUX,914.00594,914.20594
328,hier,ADV,914.33594,914.70094
329,das,PRON,914.70094,914.80594
330,Zimmer,NOUN,914.80594,915.13594
331,da,ADV,915.22594,915.65594
332,die,DET,915.65594,915.89594
333,da,ADV,916.19594,916.44594
334,den,DET,916.44594,916.59594
335,Flur,NOUN,916.64594,917.06594
336,und,CCONJ,917.26594,917.33594
337,hier,ADV,917.33594,917.59594
338,Zimmer,NOUN,917.63594,917.91594
339,ja,ADV,919.53233,919.90456
340,ah,X,925.77513,925.87225
341,ja,ADV,925.87225,926.05225
342,zehn,NUM,930.23288,930.61394
343,zehn,NUM,931.63537,932.0025
344,ja,ADV,933.82706,933.99419
345,dann,ADV,935.14531,935.52531
346,dann,ADV,935.55531,935.73531
347,hundert,NUM,935.79531,936.25531
348,jetzt,ADV,937.35015,937.48727
349,brauchen,VERB,937.48727,938.22727
350,wir,PRON,938.37727,938.82727
351,noch,ADV,939.01727,939.27727
352,Küche,NOUN,939.27727,939.98727
353,Bad,PROPN,939.98727,940.64727
354,Küche,NOUN,942.65806,942.94519
355,Bad,PROPN,942.94519,943.21519
356,brauchen,VERB,943.21519,943.40519
357,wir,PRON,943.40519,943.49519
358,noch,ADV,943.49519,943.63519
359,ne,X,943.63519,943.79519
360,ja,ADV,948.27456,948.96456
361,ja,ADV,951.87194,951.96194
362,laughter><laughterOffset,PROPN,952.27194,953.16471
363,ja,ADV,958.87448,958.9916
364,wir,PRON,958.9916,959.0616
365,wollen,AUX,959.0616,959.4216
366,also,ADV,959.4216,959.5616
367,vier,NUM,959.5616,959.9116
368,ich,PRON,959.9516,960.1766
369,sagen,VERB,960.1766,960.4816
370,vier,NUM,960.63169,960.82881
371,ist,AUX,960.82881,960.90881
372,schön,ADV,960.90881,961.19881
373,und,CCONJ,962.1725,962.23963
374,dann,ADV,962.23963,962.32962
375,brauchen,VERB,962.32962,962.51963
376,wir,PRON,962.51963,962.58962
377,dazu,ADV,962.58962,962.90963
378,auch,ADV,962.90963,962.95962
379,noch,ADV,962.95962,963.10963
380,die,DET,963.10963,963.21962
381,passende,ADJ,963.21962,963.56962
382,Dusche,NOUN,963.56962,963.91962
383,ja,ADV,967.89573,968.00573
384,also,ADV,968.00573,968.36573
385,echzig,NUM,968.39573,968.89573
386,man,PRON,969.81875,969.89875
387,kann,AUX,969.89875,969.98875
388,das,PRON,969.98875,970.09875
389,ja,ADV,970.09875,970.16875
390,auch,ADV,970.16875,970.24875
391,irgendwie,ADV,970.24875,970.55875
392,noch,ADV,970.55875,970.74875
393,so,ADV,970.74875,970.84875
394,baulich,ADV,970.84875,971.23875
395,voneinander,ADV,971.23875,971.74875
396,so,ADV,971.74875,971.95875
397,mit,ADP,972.05875,972.16875
398,irgendwelchen,ADJ,972.51875,972.89875
399,halboffenen,VERB,972.89875,973.44875
400,Wänden,NOUN,973.44875,973.74875
401,oder,CCONJ,973.74875,973.97875
402,so,ADV,973.97875,974.05875
403,abtrennen,NOUN,974.05875,974.49875
404,ja,ADV,976.02827,976.16427
405,dann,ADV,979.90375,980.12087
406,jetzt,ADV,980.18088,980.38087
407,noch,ADV,980.38087,980.49087
408,die,DET,980.58087,980.80088
409,Küche,NOUN,980.80088,981.47054
410,ja,ADV,982.40821,982.58821
411,boah,VERB,983.86783,984.01783
412,die,DET,984.01783,984.08783
413,Küche,NOUN,984.08783,984.22783
414,vierzig,NUM,984.22783,984.56783
415,Quadratmeter,NOUN,984.69783,986.52783
416,na,X,986.58783,986.73783
417,gut,ADV,986.73783,986.88783
418,ja,ADV,986.88783,986.94783
419,ja,ADV,986.94783,987.02783
420,gut,ADV,987.02783,987.16798
421,ja,ADV,992.72694,992.81406
422,jeder,PRON,992.81406,993.09406
423,kann,AUX,993.09406,993.23406
424,ja,ADV,993.23406,993.32406
425,sein,AUX,993.32406,993.48406
426,Zimmer,NOUN,993.48406,993.86406
427,einrichten,VERB,993.93406,994.72406
428,wie,ADP,994.72406,994.85406
429,er,PRON,994.85406,994.99406
430,will,AUX,994.99406,995.16406
431,genau,ADV,995.44498,995.76527
432,ja,ADV,1002.6511,1002.7211
433,gut,ADV,1002.7211,1002.8211
434,ich,PRON,1002.8211,1002.9311
435,hab,PROPN,1002.9311,1003.0311
436,ich,PRON,1003.0611,1003.1411
437,hab,PROPN,1003.1411,1003.2711
438,Bett,NOUN,1003.9611,1004.3011
439,ich,PRON,1004.3011,1004.4511
440,hab,PROPN,1004.5311,1004.6911
441,Schrank,NOUN,1004.7411,1005.2011
442,ja,ADV,1014.66658,1014.91781
443,genau,ADV,1014.97821,1015.17821
444,wir,PRON,1015.17821,1015.24821
445,müssen,AUX,1015.24821,1015.75746
446,ja,ADV,1015.87863,1016.06906
447,ja,ADV,1016.50188,1016.649
448,dunkel,ADV,1017.25498,1017.80033
449,also,ADV,1020.76419,1021.17419
450,du,PRON,1021.17419,1021.31419
451,äh,INTJ,1021.66419,1021.87419
452,willst,AUX,1021.87419,1022.03419
453,du,PRON,1022.03419,1022.12419
454,schwarzes,ADJ,1022.12419,1022.56419
455,Parkett,NOUN,1022.56419,1022.98419
456,haben,AUX,1022.98419,1023.20346
457,ja,ADV,1028.06075,1028.15075
458,gut,ADV,1028.15075,1028.34075
459,okay,ADV,1028.34075,1028.76942
460,okay,ADV,1029.34071,1029.65783
461,aber,CCONJ,1030.57919,1031.16919
462,dann,ADV,1031.16919,1031.24919
463,auch,ADV,1031.24919,1031.51919
464,noch,ADV,1031.54919,1031.85919
465,noch,ADV,1031.88919,1032.11919
466,paar,DET,1032.19919,1032.71919
467,nei,ADV,1036.10371,1036.61083
468,nein,PART,1036.64083,1036.78083
469,nein,PART,1036.78083,1037.09083
470,ja,ADV,1037.69646,1037.97358
471,ja,ADV,1037.97358,1038.16358
472,genau,ADV,1038.16358,1038.30358
473,ja,ADV,1038.36367,1038.57079
474,ja,ADV,1038.57079,1038.65079
475,ja,ADV,1038.94294,1039.09006
476,und,CCONJ,1040.11135,1040.26135
477,dann,ADV,1040.26135,1040.60135
478,ja,ADV,1040.60135,1040.87135
479,ja,ADV,1045.2721,1045.5821
480,wie,ADP,1046.51015,1046.69727
481,äh,INTJ,1046.76727,1046.84727
482,wie,ADP,1046.84727,1047.06415
483,ja,ADV,1050.80644,1050.95644
484,das,PRON,1050.95644,1051.32644
485,ist,AUX,1051.32644,1051.41644
486,mir,PRON,1051.41644,1051.58644
487,ja,ADV,1051.58644,1051.72644
488,egal,ADV,1051.72644,1052.07644
489,weiße,ADJ,1055.87302,1056.21302
490,Fliesen,NOUN,1056.21302,1056.81271
491,ja,ADV,1060.50173,1060.70173
492,ja,ADV,1062.24181,1062.41894
493,äh,INTJ,1064.74535,1065.45535
494,Küche,NOUN,1066.57273,1066.92648
495,ja,ADV,1067.93925,1068.08638
496,auch,ADV,1068.08638,1068.15638
497,irgendwie,ADV,1068.15638,1068.91638
498,auch,ADV,1068.91638,1069.1771
499,auch,ADV,1070.54477,1070.7119
500,irgendwie,ADV,1070.7119,1070.9969
501,Fliesen,NOUN,1070.9969,1071.52294
502,aber,CCONJ,1071.54025,1071.68737
503,ich,PRON,1071.68737,1071.78738
504,also,ADV,1071.83738,1072.06738
505,ich,PRON,1072.06738,1072.15738
506,finde,VERB,1072.15738,1072.44737
507,so,ADV,1072.44737,1072.66737
508,diese,PRON,1072.66737,1073.07738
509,type,VERB,1073.17737,1073.32738
510,diese,PRON,1073.63738,1073.77737
511,amerikanischen,VERB,1073.77737,1074.46737
512,Küchen,NOUN,1074.46737,1074.79738
513,ja,ADV,1077.0211,1077.2711
514,und,CCONJ,1078.07735,1078.33448
515,äh,INTJ,1078.39448,1078.43448
516,äh,INTJ,1078.52448,1079.05448
517,halt,ADV,1079.05448,1079.27448
518,p>-,X,1079.41448,1079.44448
519,in,ADP,1079.44448,1079.49448
520,der,DET,1079.49448,1079.61448
521,Mitte,NOUN,1079.61448,1079.89448
522,halt,ADV,1079.89448,1080.12448
523,so,ADV,1080.12448,1080.46448
524,ja,ADV,1081.55015,1081.62727
525,ja,ADV,1081.62727,1081.77727
526,genau,ADV,1081.77727,1082.06952
527,ja,ADV,1082.25131,1082.63844
528,ja,ADV,1082.63844,1082.90844
529,also,ADV,1082.96844,1083.33844
530,das,PRON,1083.33844,1083.48844
531,ich,PRON,1083.51844,1083.896
532,ja,ADV,1085.70515,1086.0514
533,nee,X,1087.99904,1088.37617
534,also,ADV,1088.37617,1088.95617
535,keine,DET,1090.70144,1091.03856
536,keine,DET,1091.03856,1091.26856
537,Ahnung,NOUN,1091.31856,1091.60856
538,vielleicht,ADV,1094.10333,1094.35046
539,rot-orange,NOUN,1094.46046,1095.50046
540,in,ADP,1095.50046,1095.57046
541,dem,PRON,1095.57046,1095.79046
542,Bereich,NOUN,1095.79046,1096.23277
543,also,ADV,1097.3321,1097.7476
544,gut,ADV,1099.79212,1099.87925
545,was,PRON,1099.87925,1099.99925
546,fehlt,VERB,1099.99925,1100.27925
547,denn,CCONJ,1100.27925,1100.55925
548,oh,PROPN,1101.02996,1101.15708
549,ja,ADV,1101.15708,1101.41708
550,oh,PROPN,1101.41708,1101.60708
551,das,PRON,1101.60708,1101.72708
552,ist,AUX,1101.79708,1101.89708
553,schwierig,ADV,1101.89708,1102.31708
554,also,ADV,1103.69608,1104.10321
555,wir,PRON,1104.10321,1104.24321
556,brauchen,VERB,1104.24321,1104.48321
557,auf,ADP,1104.48321,1104.68321
558,auf,ADP,1104.74321,1104.80321
559,auf,ADP,1104.80321,1104.99321
560,jeden,PRON,1104.99321,1105.24321
561,Fall,NOUN,1105.24321,1105.55321
562,erstmal,ADV,1105.55321,1105.80321
563,mega,VERB,1106.00321,1106.26321
564,Fernseher,NOUN,1106.26321,1106.83131
565,ja,ADV,1108.55369,1108.75369
566,stimmt,VERB,1117.27235,1117.67948
567,ja,ADV,1117.67948,1118.14948
568,ja,ADV,1118.29948,1118.57948
569,ja,ADV,1118.83912,1118.97625
570,ja,ADV,1118.97625,1119.04625
571,und,CCONJ,1119.04625,1119.22625
572,und,CCONJ,1119.22625,1119.48625
573,die,DET,1119.48625,1119.57625
574,passende,ADJ,1119.57625,1119.88625
575,Soundanlage,NOUN,1119.88625,1120.61625
576,dazu,ADV,1120.61625,1120.84738
577,und,CCONJ,1121.19777,1121.29777
578,und,CCONJ,1121.35777,1121.40777
579,dann,ADV,1121.40777,1121.54777
580,brauchen,VERB,1121.54777,1121.74777
581,wir,PRON,1121.74777,1121.90777
582,aber,CCONJ,1121.90777,1122.26777
583,auf,ADP,1122.26777,1122.37777
584,der,DET,1122.37777,1122.52777
585,anderen,PRON,1122.52777,1122.93777
586,Seite,NOUN,1122.93777,1123.13427
587,ich,PRON,1127.94962,1128.04462
588,mal,ADV,1128.04462,1128.17962
589,von,ADP,1128.17962,1128.36963
590,aus,ADP,1128.36963,1128.58169
591,ich,PRON,1128.67881,1128.82881
592,doch,CCONJ,1128.82881,1129.28881
593,mal,ADV,1129.28881,1129.41881
594,ähm,X,1130.03683,1130.41683
595,ja,ADV,1132.42404,1132.61117
596,ja,ADV,1132.61117,1132.75117
597,genau,ADV,1132.75117,1133.16848
598,ja,ADV,1137.32494,1137.39494
599,ja,ADV,1137.39494,1137.61494
600,ja,ADV,1137.61494,1137.72494
601,genau,ADV,1137.72494,1138.19494
602,so,ADV,1138.19494,1138.69281
603,Mhm,PROPN,1140.2336,1140.57985
604,ähm,X,1144.2339,1144.6539
605,ja,ADV,1145.81237,1145.95238
606,auf,ADP,1145.95238,1146.07237
607,jeden,PRON,1146.07237,1146.32987
608,dann,ADV,1146.32987,1146.427
609,brauchen,VERB,1146.427,1146.587
610,wir,PRON,1146.587,1146.747
611,auch,ADV,1146.747,1146.907
612,noch,ADV,1146.907,1146.967
613,auf,ADP,1147.047,1147.187
614,der,DET,1147.187,1147.357
615,anderen,PRON,1147.357,1147.857
616,Seite,NOUN,1147.857,1148.027
617,jeweils,ADV,1148.057,1148.317
618,so,ADV,1148.317,1148.467
619,fettes,ADJ,1148.527,1148.762
620,Sofa,X,1148.762,1149.127
621,Mhm,PROPN,1152.06831,1152.37129
622,was,PRON,1159.34252,1159.67252
623,wegen,ADP,1160.8461,1161.4361
624,der,DET,1161.5161,1161.7761
625,ja,ADV,1162.29715,1162.43715
626,aber,CCONJ,1162.43715,1162.64715
627,ich,PRON,1162.64715,1162.77715
628,also,ADV,1162.77715,1163.03715
629,ich,PRON,1163.03715,1163.27715
630,so,ADV,1164.9346,1165.0846
631,vom,ADP,1165.0846,1165.2546
632,Wohnzimmerstil,NOUN,1165.2546,1165.9246
633,her,ADV,1165.9246,1166.0646
634,ich,PRON,1166.0946,1166.2446
635,das,PRON,1166.2446,1166.3846
636,eher,ADV,1166.3846,1166.6246
637,so,ADV,1166.6246,1166.9846
638,eher,ADV,1167.9146,1168.1696
639,eher,ADV,1168.1696,1168.4846
640,eher,ADV,1168.4846,1168.6046
641,modern,ADV,1168.6046,1168.9546
642,einrichten,VERB,1168.9546,1169.7246
643,also,ADV,1169.7246,1170.0696
644,eher,ADV,1170.0696,1170.2646
645,so,ADV,1170.2646,1170.35525
646,ja,ADV,1178.80652,1178.91652
647,das,PRON,1178.91652,1179.02652
648,passt,VERB,1179.02652,1179.37669
649,ja,ADV,1181.20312,1181.48879
650,ja,ADV,1182.39019,1182.52019
651,aber,CCONJ,1184.14008,1184.50008
652,so,ADV,1184.50008,1184.60008
653,diesen,PRON,1184.60008,1184.93008
654,ganzen,VERB,1184.93008,1185.38008
655,modischen,NOUN,1185.41008,1186.29008
656,Einrichtungskram,PROPN,1186.29008,1187.03008
657,so,ADV,1187.03008,1187.10008
658,das,PRON,1187.10008,1187.26008
659,meiste,PRON,1187.26008,1187.45008
660,musst,VERB,1187.45008,1187.52008
661,du,PRON,1187.52008,1187.64008
662,sowieso,ADV,1187.64008,1188.20008
663,machen,VERB,1188.20008,1188.43008
664,weil,SCONJ,1188.72704,1188.92417
665,das,PRON,1188.92417,1189.09417
666,bei,ADP,1189.09417,1189.21417
667,mir,PRON,1189.21417,1189.61417
668,dann,ADV,1189.64417,1189.75417
669,immer,ADV,1190.21417,1190.40417
670,total,ADV,1190.40417,1190.94417
671,kahl,NOUN,1191.00417,1191.40417
672,und,CCONJ,1191.40417,1191.56417
673,kalt,ADV,1191.61417,1191.80417
674,aussieht,VERB,1191.80417,1192.17417
675,ja,ADV,1192.71756,1192.98592
676,äh,INTJ,1193.68198,1193.92198
677,ja,ADV,1193.92198,1194.20198
678,oh,PROPN,1200.8664,1201.07352
679,ja,ADV,1201.07352,1201.29352
680,verdammt,VERB,1201.29352,1201.87919
681,wieviel,ADV,1202.77075,1202.94788
682,Qua-,X,1202.94788,1203.03787
683,hamwa,VERB,1203.31787,1203.59787
684,hatten,AUX,1209.92246,1210.22958
685,wir,PRON,1210.22958,1210.34958
686,nicht,PART,1210.34958,1210.41958
687,Vierzig-Quadratmeter-Küche,NOUN,1210.44958,1211.66958
688,moment,ADV,1213.02138,1213.3085
689,wir,PRON,1213.3085,1213.4285
690,hatten,AUX,1213.4285,1213.5585
691,fünfundzwanzig,ADV,1213.5585,1214.3485
692,und,CCONJ,1214.3485,1214.3785
